Model,Sampling,Precision,Recall,F1,ROC-AUC,Accuracy,TP,FP,FN,TN,Time_s
Logistic Regression,None (baseline),0.8289,0.6429,0.7241,0.9573,0.9992,63,13,35,56851,2.51
Decision Tree,None (baseline),0.7228,0.7449,0.7337,0.8722,0.9991,73,28,25,56836,49.18
Random Forest,None (baseline),0.9524,0.8163,0.8791,0.9528,0.9996,80,4,18,56860,353.85
XGBoost,None (baseline),0.8966,0.7959,0.8432,0.9219,0.9995,78,9,20,56855,5.17
Logistic Regression,Undersampling,0.0384,0.9184,0.0738,0.976,0.9603,90,2251,8,54613,0.18
Decision Tree,Undersampling,0.0159,0.9082,0.0312,0.9056,0.903,89,5514,9,51350,0.1
Random Forest,Undersampling,0.0424,0.9184,0.081,0.977,0.9641,90,2035,8,54829,1.84
XGBoost,Undersampling,0.0341,0.9184,0.0657,0.9771,0.955,90,2553,8,54311,1.16
Logistic Regression,SMOTE,0.0581,0.9184,0.1094,0.9698,0.9743,90,1458,8,55406,8.3
Decision Tree,SMOTE,0.3408,0.7755,0.4735,0.8865,0.997,76,147,22,56717,86.01
Random Forest,SMOTE,0.8404,0.8061,0.8229,0.9841,0.9994,79,15,19,56849,553.32
XGBoost,SMOTE,0.6829,0.8571,0.7602,0.9745,0.9991,84,39,14,56825,12.32
